stopwords_removed,3-gram
"['keren', 'banget']",[]
"['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","['baik_hubung_ulang', 'buruk_baik_hubung', 'hubung_ulang_tunggu', 'ulang_tunggu_beberapa']"
['layak'],[]
"['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","['banyak_jago_biasa', 'biasa_buruk_musuh', 'buruk_musuh_hebat', 'jago_biasa_buruk', 'musuh_hebat_tantang', 'seru_banyak_jago']"
"['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","['bagus_jujur_ikan', 'ikan_kepada_bagus', 'jujur_ikan_kepada', 'terimakasih_bagus_jujur']"
"['mending', 'legeng']",[]
"['seru', 'asik', 'gabut', 'laik']","['asik_gabut_laik', 'seru_asik_gabut']"
"['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","['baik_bonus_bintang', 'banyak_lebih_baik', 'bonus_bintang_menang', 'crazy_jika_kalah', 'gelap_very_crazy', 'jika_kalah_lebih', 'kalah_lebih_banyak', 'lebih_baik_bonus', 'lebih_banyak_lebih', 'very_crazy_jika']"
['lelett'],[]
['diamond'],[]
"['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","['agak_sedikit_sustand', 'animasi_delay_skill', 'arcana_tambahin_spellvamp', 'balance_biar_agak', 'banyak_stun_item', 'beberapa_licin_talu', 'beberapa_terlalu_butuh', 'biar_agak_sedikit', 'bila_kill_musuh', 'butuh_ulti_balance', 'cc_selain_sepatu', 'cepat_beberapa_licin', 'delay_skill_gera', 'fight_arcana_tambahin', 'gantung_ulti_beberapa', 'gera_cepat_beberapa', 'item_kurang_cc', 'kelas_sangguan_ulti', 'kill_musuh_gantung', 'kurang_cc_selain', 'licin_talu_banyak', 'musuh_gantung_ulti', 'physical_masuk_terimakasih', 'reset_bila_kill', 'sangguan_ulti_reset', 'sedikit_sustand_fight', 'selain_sepatu_kelas', 'sepatu_kelas_sangguan', 'skill_gera_cepat', 'spellvamp_physical_masuk', 'stun_item_kurang', 'sustand_fight_arcana', 'talu_banyak_stun', 'tambahin_spellvamp_physical', 'terlalu_butuh_ulti', 'ulti_balance_biar', 'ulti_beberapa_terlalu', 'ulti_reset_bila']"
"['tolong', 'baik', 'masalh', 'menggangu']","['baik_masalh_menggangu', 'tolong_baik_masalh']"
"['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","['bagus_samsung_samsung', 'samsung_apakah_kuat', 'samsung_samsung_apakah']"
"['banyak', 'bug', 'rusak']",['banyak_bug_rusak']
"['bagus', 'banget', 'hewan', 'lucu', 'pula']","['bagus_banget_hewan', 'banget_hewan_lucu', 'hewan_lucu_pula']"
['seru'],[]
"['cocok', 'bagi', 'ls']",['cocok_bagi_ls']
['suka'],[]
