stopwords_removed,trigrams_mlbb
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","[('malas', 'nak', 'cakap'), ('nak', 'cakap', 'dh'), ('cakap', 'dh', 'enemy'), ('dh', 'enemy', 'dh'), ('enemy', 'dh', 'pro'), ('dh', 'pro', 'dh'), ('pro', 'dh', 'noob'), ('dh', 'noob', 'paling'), ('noob', 'paling', 'malas'), ('paling', 'malas', 'rendah'), ('malas', 'rendah', 'nyasar'), ('rendah', 'nyasar', 'sendiri'), ('nyasar', 'sendiri', 'sedang'), ('sendiri', 'sedang', 'enmy'), ('sedang', 'enmy', 'sampai'), ('enmy', 'sampai', 'bekas'), ('sampai', 'bekas', 'immortal'), ('bekas', 'immortal', 'dh'), ('immortal', 'dh', 'cam'), ('dh', 'cam', 'sial'), ('cam', 'sial', 'update'), ('sial', 'update', 'sekaranggood'), ('update', 'sekaranggood', 'bye'), ('sekaranggood', 'bye', 'forever')]"
['pamaniyasarusakali'],[]
['yatim'],[]
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","[('bagus', 'suka', 'ikan'), ('suka', 'ikan', 'ws'), ('ikan', 'ws', 'lebih'), ('ws', 'lebih', 'banyak')]"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","[('semenjak', 'ganti', 'season'), ('ganti', 'season', 'baru'), ('season', 'baru', 'makin'), ('baru', 'makin', 'ngaco'), ('makin', 'ngaco', 'matching'), ('ngaco', 'matching', 'bug'), ('matching', 'bug', 'lag'), ('bug', 'lag', 'sinyal'), ('lag', 'sinyal', 'bagus'), ('sinyal', 'bagus', 'entah'), ('bagus', 'entah', 'cheat'), ('entah', 'cheat', 'sebab'), ('cheat', 'sebab', 'lag'), ('sebab', 'lag', 'makin'), ('lag', 'makin', 'jelas'), ('makin', 'jelas', 'pokok')]"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","[('bagus', 'tolong', 'baik'), ('tolong', 'baik', 'muntun'), ('baik', 'muntun', 'renk'), ('muntun', 'renk', 'computer'), ('renk', 'computer', 'musuh'), ('computer', 'musuh', 'serasa'), ('musuh', 'serasa', 'joki'), ('serasa', 'joki', 'beri'), ('joki', 'beri', 'lawan'), ('beri', 'lawan', 'padan'), ('lawan', 'padan', 'baik'), ('padan', 'baik', 'pindah')]"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","[('minus', 'permainanan', 'se'), ('permainanan', 'se', 'imbang'), ('se', 'imbang', 'mvp'), ('imbang', 'mvp', 'kalah'), ('mvp', 'kalah', 'mah'), ('kalah', 'mah', 'ilangin'), ('mah', 'ilangin', 'darat'), ('ilangin', 'darat', 'cape')]"
"['seru', 'banget']",[]
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","[('buruk', 'efek', 'skin'), ('efek', 'skin', 'biasa'), ('skin', 'biasa', 'hera'), ('biasa', 'hera', 'aneh'), ('hera', 'aneh', 'tampil'), ('aneh', 'tampil', 'majapahit'), ('tampil', 'majapahit', 'rata'), ('majapahit', 'rata', 'win'), ('rata', 'win', 'kalah'), ('win', 'kalah', 'berkalikali'), ('kalah', 'berkalikali', 'stres'), ('berkalikali', 'stres', 'ginian'), ('stres', 'ginian', 'banyak'), ('ginian', 'banyak', 'banget'), ('banyak', 'banget', 'gelap')]"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","[('kenapa', 'banyak', 'draksistem'), ('banyak', 'draksistem', 'capek'), ('draksistem', 'capek', 'trol'), ('capek', 'trol', 'jelas')]"
"['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","[('update', 'patch', 'baru'), ('patch', 'baru', 'sekarang'), ('baru', 'sekarang', 'kk'), ('sekarang', 'kk', 'stuck'), ('kk', 'stuck', 'loading'), ('stuck', 'loading', 'afk'), ('loading', 'afk', 'sampai'), ('afk', 'sampai', 'menit'), ('sampai', 'menit', 'skoth'), ('menit', 'skoth', 'kah')]"
"['tanding', 'stuck', 'lama', 'keluar', 'tanding', 'ngelakuin', 'gimana']","[('tanding', 'stuck', 'lama'), ('stuck', 'lama', 'keluar'), ('lama', 'keluar', 'tanding'), ('keluar', 'tanding', 'ngelakuin'), ('tanding', 'ngelakuin', 'gimana')]"
"['knp', 'akun', 'kena', 'bug', 'verifikasi', 'langkah', 'kena', 'verifikasi', 'langkah', 'tolong', 'jawab']","[('knp', 'akun', 'kena'), ('akun', 'kena', 'bug'), ('kena', 'bug', 'verifikasi'), ('bug', 'verifikasi', 'langkah'), ('verifikasi', 'langkah', 'kena'), ('langkah', 'kena', 'verifikasi'), ('kena', 'verifikasi', 'langkah'), ('verifikasi', 'langkah', 'tolong'), ('langkah', 'tolong', 'jawab')]"
"['mending', 'gausah', 'banyak', 'draks', 'bag', 'tu', 'ter', 'parah', 'pernah', 'alamin', 'mending', 'ff', 'pubg', 'bloods', 'trek', 'ghenshingimana', 'mythic', 'ngesetak', 'ketemu', 'muntum', 'dia', 'lukas']","[('mending', 'gausah', 'banyak'), ('gausah', 'banyak', 'draks'), ('banyak', 'draks', 'bag'), ('draks', 'bag', 'tu'), ('bag', 'tu', 'ter'), ('tu', 'ter', 'parah'), ('ter', 'parah', 'pernah'), ('parah', 'pernah', 'alamin'), ('pernah', 'alamin', 'mending'), ('alamin', 'mending', 'ff'), ('mending', 'ff', 'pubg'), ('ff', 'pubg', 'bloods'), ('pubg', 'bloods', 'trek'), ('bloods', 'trek', 'ghenshingimana'), ('trek', 'ghenshingimana', 'mythic'), ('ghenshingimana', 'mythic', 'ngesetak'), ('mythic', 'ngesetak', 'ketemu'), ('ngesetak', 'ketemu', 'muntum'), ('ketemu', 'muntum', 'dia'), ('muntum', 'dia', 'lukas')]"
"['bagus', 'dalam', 'segi', 'skin', 'keren', 'keren', 'kenapa', 'gimana', 'gitu', 'tinggi', 'tinggi', 'bocil', 'mityik', 'susah', 'naik']","[('bagus', 'dalam', 'segi'), ('dalam', 'segi', 'skin'), ('segi', 'skin', 'keren'), ('skin', 'keren', 'keren'), ('keren', 'keren', 'kenapa'), ('keren', 'kenapa', 'gimana'), ('kenapa', 'gimana', 'gitu'), ('gimana', 'gitu', 'tinggi'), ('gitu', 'tinggi', 'tinggi'), ('tinggi', 'tinggi', 'bocil'), ('tinggi', 'bocil', 'mityik'), ('bocil', 'mityik', 'susah'), ('mityik', 'susah', 'naik')]"
"['sumpah', 'marah', 'pasti', 'kalah', 'maksud', 'gimana', 'sengaja', 'biar', 'kalah', 'stuck', 'ken', 'ngerasain', 'mytic', 'sampai', 'ngeluarin', 'mutiara', 'tolong', 'kerjasamanya']","[('sumpah', 'marah', 'pasti'), ('marah', 'pasti', 'kalah'), ('pasti', 'kalah', 'maksud'), ('kalah', 'maksud', 'gimana'), ('maksud', 'gimana', 'sengaja'), ('gimana', 'sengaja', 'biar'), ('sengaja', 'biar', 'kalah'), ('biar', 'kalah', 'stuck'), ('kalah', 'stuck', 'ken'), ('stuck', 'ken', 'ngerasain'), ('ken', 'ngerasain', 'mytic'), ('ngerasain', 'mytic', 'sampai'), ('mytic', 'sampai', 'ngeluarin'), ('sampai', 'ngeluarin', 'mutiara'), ('ngeluarin', 'mutiara', 'tolong'), ('mutiara', 'tolong', 'kerjasamanya')]"
"['banyak', 'update', 'baru', 'makin', 'seru', 'bug', 'alam', 'buruk', 'lancar', 'bagus', 'guna', 'dalam', 'lag', 'sudah', 'mati', 'lancar', 'asa', 'pernah', 'fix', 'masalah', 'apakah', 'pihak', 'sengaja', 'sudah', 'banyak', 'masalah', 'masalah', 'pernah', 'tanggap', 'pihak']","[('banyak', 'update', 'baru'), ('update', 'baru', 'makin'), ('baru', 'makin', 'seru'), ('makin', 'seru', 'bug'), ('seru', 'bug', 'alam'), ('bug', 'alam', 'buruk'), ('alam', 'buruk', 'lancar'), ('buruk', 'lancar', 'bagus'), ('lancar', 'bagus', 'guna'), ('bagus', 'guna', 'dalam'), ('guna', 'dalam', 'lag'), ('dalam', 'lag', 'sudah'), ('lag', 'sudah', 'mati'), ('sudah', 'mati', 'lancar'), ('mati', 'lancar', 'asa'), ('lancar', 'asa', 'pernah'), ('asa', 'pernah', 'fix'), ('pernah', 'fix', 'masalah'), ('fix', 'masalah', 'apakah'), ('masalah', 'apakah', 'pihak'), ('apakah', 'pihak', 'sengaja'), ('pihak', 'sengaja', 'sudah'), ('sengaja', 'sudah', 'banyak'), ('sudah', 'banyak', 'masalah'), ('banyak', 'masalah', 'masalah'), ('masalah', 'masalah', 'pernah'), ('masalah', 'pernah', 'tanggap'), ('pernah', 'tanggap', 'pihak')]"
"['macem', 'tolol', 'sinyal', 'hilang', 'sendiri', 'full', 'sinyal', 'dimatiin', 'gerak']","[('macem', 'tolol', 'sinyal'), ('tolol', 'sinyal', 'hilang'), ('sinyal', 'hilang', 'sendiri'), ('hilang', 'sendiri', 'full'), ('sendiri', 'full', 'sinyal'), ('full', 'sinyal', 'dimatiin'), ('sinyal', 'dimatiin', 'gerak')]"
"['buruk', 'kontol', 'baba']","[('buruk', 'kontol', 'baba')]"
"['lumayan', 'dikenalin', 'emry']","[('lumayan', 'dikenalin', 'emry')]"
"['bodoh', 'sudah', 'top', 'up', 'banyak', 'cuma', 'kalah', 'keren']","[('bodoh', 'sudah', 'top'), ('sudah', 'top', 'up'), ('top', 'up', 'banyak'), ('up', 'banyak', 'cuma'), ('banyak', 'cuma', 'kalah'), ('cuma', 'kalah', 'keren')]"
"['buruk', 'update', 'yng', 'sekarang', 'buruk', 'offline', 'pass', 'masuk', 'pilih', 'mulai', 'tulis', 'gitu', 'pass', 'pencet', 'oke', 'mulai', 'sendiri', 'lag', 'keluar', 'sendiri', 'baik', 'pliss', 'maaf', 'rate', 'cuma', 'dua', 'bintang', 'baik', 'terimakasih', 'maaf', 'terlalu', 'panjang']","[('buruk', 'update', 'yng'), ('update', 'yng', 'sekarang'), ('yng', 'sekarang', 'buruk'), ('sekarang', 'buruk', 'offline'), ('buruk', 'offline', 'pass'), ('offline', 'pass', 'masuk'), ('pass', 'masuk', 'pilih'), ('masuk', 'pilih', 'mulai'), ('pilih', 'mulai', 'tulis'), ('mulai', 'tulis', 'gitu'), ('tulis', 'gitu', 'pass'), ('gitu', 'pass', 'pencet'), ('pass', 'pencet', 'oke'), ('pencet', 'oke', 'mulai'), ('oke', 'mulai', 'sendiri'), ('mulai', 'sendiri', 'lag'), ('sendiri', 'lag', 'keluar'), ('lag', 'keluar', 'sendiri'), ('keluar', 'sendiri', 'baik'), ('sendiri', 'baik', 'pliss'), ('baik', 'pliss', 'maaf'), ('pliss', 'maaf', 'rate'), ('maaf', 'rate', 'cuma'), ('rate', 'cuma', 'dua'), ('cuma', 'dua', 'bintang'), ('dua', 'bintang', 'baik'), ('bintang', 'baik', 'terimakasih'), ('baik', 'terimakasih', 'maaf'), ('terimakasih', 'maaf', 'terlalu'), ('maaf', 'terlalu', 'panjang')]"
['otak'],[]
"['gblk', 'beri', 'gaperna', 'benar', 'mm', 'anjg']","[('gblk', 'beri', 'gaperna'), ('beri', 'gaperna', 'benar'), ('gaperna', 'benar', 'mm'), ('benar', 'mm', 'anjg')]"
"['lumayan', 'ngendali', 'pasti', 'seru', 'lawan', 'computer', 'maksud', 'skin', 'gratis', 'rendom']","[('lumayan', 'ngendali', 'pasti'), ('ngendali', 'pasti', 'seru'), ('pasti', 'seru', 'lawan'), ('seru', 'lawan', 'computer'), ('lawan', 'computer', 'maksud'), ('computer', 'maksud', 'skin'), ('maksud', 'skin', 'gratis'), ('skin', 'gratis', 'rendom')]"
"['buruk', 'banyak', 'cheater', 'tambah', 'tambah', 'jelek', 'kurang', 'bagus', 'sengaja', 'bintang', 'otw', 'uninstal']","[('buruk', 'banyak', 'cheater'), ('banyak', 'cheater', 'tambah'), ('cheater', 'tambah', 'tambah'), ('tambah', 'tambah', 'jelek'), ('tambah', 'jelek', 'kurang'), ('jelek', 'kurang', 'bagus'), ('kurang', 'bagus', 'sengaja'), ('bagus', 'sengaja', 'bintang'), ('sengaja', 'bintang', 'otw'), ('bintang', 'otw', 'uninstal')]"
